%time x_sig v_sig adc_sig k_sig
0.01534 -1.16193082099e-05 -0.0241996507856 -5 6
0.01535 -1.18042260652e-05 -0.0184917855317 -4 6
0.01536 -1.19291490029e-05 -0.0124922937734 -2 6
0.01537 -1.19921069137e-05 -0.00629579107983 -1 6
0.01538 -1.19921069137e-05 3.38813178902e-16 0 6
0.01539 -1.19291490029e-05 0.00629579107983 1 6
0.0154 -1.18042260652e-05 0.0124922937734 2 6
0.01541 -1.16193082099e-05 0.0184917855317 4 6
0.01542 -1.1377311702e-05 0.0241996507856 5 6
0.01543 -1.10820529711e-05 0.0295258730905 6 6
0.01544 -1.07381884237e-05 0.0343864547388 7 6
0.01545 -1.03511410092e-05 0.0387047414545 7 6
0.01546 -9.92701469641e-06 0.0424126312763 8 6
0.01547 -9.47249821074e-06 0.0454516485668 9 6
0.01548 -8.99475954866e-06 0.0477738662079 9 6
0.01549 -8.50133293426e-06 0.0493426614402 9 6
0.0155 -8e-06 0.0501332934257 10 6
0.01551 -7.49866706574e-06 0.0501332934257 10 6
0.01552 -7.00524045134e-06 0.0493426614402 9 6
0.01553 -6.52750178926e-06 0.0477738662079 9 6
0.01554 -6.07298530359e-06 0.0454516485668 9 6
0.01555 -5.64885899083e-06 0.0424126312763 8 6
0.01556 -5.26181157629e-06 0.0387047414545 7 6
0.01557 -4.9179470289e-06 0.0343864547388 7 6
0.01558 -4.62268829799e-06 0.0295258730905 6 6
0.01559 -4.38069179014e-06 0.0241996507856 5 6
0.0156 -4.19577393482e-06 0.0184917855317 4 6
0.01561 -4.07085099709e-06 0.0124922937734 2 6
0.01562 -4.00789308629e-06 0.00629579107983 1 6
0.01563 -4.00789308629e-06 -6.77626357803e-16 0 6
0.01564 -4.07085099709e-06 -0.00629579107983 -1 6
0.01565 -4.19577393482e-06 -0.0124922937734 -2 6
0.01566 -4.38069179014e-06 -0.0184917855317 -4 6
0.01567 -4.62268829799e-06 -0.0241996507856 -5 6
0.01568 -4.9179470289e-06 -0.0295258730905 -6 6
0.01569 -5.26181157629e-06 -0.0343864547389 -7 6
0.0157 -5.64885899083e-06 -0.0387047414545 -7 6
0.01571 -6.07298530359e-06 -0.0424126312763 -8 6
0.01572 -6.52750178926e-06 -0.0454516485668 -9 6
0.01573 -7.00524045134e-06 -0.0477738662079 -9 6
0.01574 -7.49866706574e-06 -0.0493426614402 -9 6
0.01575 -8e-06 -0.0501332934257 -10 6
0.01576 -8.50133293426e-06 -0.0501332934257 -10 6
